cast,Number_MoviesShows,score
 Christine Cavanaugh,3,55.333333333333336
 Christine Choueiri,1,33.0
 Christine Dye,1,42.0
 Christine Ebersole,1,41.0
 Christine Evangelista,1,67.0
 Christine Hakim,1,18.0
 Christine Healy,1,24.0
 Christine Lahti,3,61.666666666666664
 Christine Marzano,1,53.0
 Christine Taylor,2,62.0
 Christine Woods,3,57.666666666666664
 Christo Dimassis,1,8.0
 Christoffer Nelwan,1,37.0
 Christoph Bach,1,55.0
 Christoph Maria Herbst,1,70.0
 Christoph Sanders,1,30.0
 Christoph Waltz,1,84.0
 Christophe Kourotchkine,1,69.0
 Christophe Reymond,1,31.0
 Christopher Abbott,1,72.0
 Christopher Berry,2,57.0
 Christopher Bondy,1,7.0
 Christopher Brand,1,33.0
 Christopher Carley,1,80.0
 Christopher Castile,1,51.0
 Christopher Dempsey,1,71.0
 Christopher Denham,1,60.0
 Christopher Eccleston,1,57.0
 Christopher Evan Welch,1,73.0
 Christopher Goodman,1,59.0
 Christopher Guest,2,67.5
 Christopher Heyerdahl,1,80.0
 Christopher Jennings,1,24.0
 Christopher Kirby,1,51.0
 Christopher Krieg,1,27.0
 Christopher Lambert,1,64.0
 Christopher Larkin,1,69.0
 Christopher Lee,6,59.0
 Christopher Lloyd,4,43.5
 Christopher Maleki,1,40.0
 Christopher Mann,1,60.0
 Christopher Martin,1,42.0
 Christopher Matthew Cook,1,46.0
 Christopher McDonald,4,39.75
 Christopher Meloni,3,58.333333333333336
 Christopher Mintz-Plasse,4,66.25
 Christopher Moser,1,60.0
 Christopher Moynihan,1,51.0
 Christopher Plummer,4,53.75
 Christopher Rich,1,35.0
 Christopher Russell,1,31.0
 Christopher Sanders,1,78.0
 Christopher Sciueref,1,53.0
 Christopher Severio,1,72.0
 Christopher Shazar,1,45.0
 Christopher Shyer,1,51.0
 Christopher Simpson,1,64.0
 Christopher Von Uckermann,1,67.0
 Christopher Walken,4,71.25
 Christy Carlson Romano,1,28.0
 Christy Reese,1,69.0
 Christy Romano,1,60.0
 Chuck Liddell,3,29.0
 Chuck McCann,1,73.0
 Chuck Norris,1,47.0
 Chuck Shamata,2,44.0
 Chun Ho-jin,1,45.0
 Chung-wai Lee,1,19.0
 Chunky Pandey,3,36.666666666666664
 Churni Ganguly,1,63.0
 CiCi Hedgepeth,1,51.0
 Ciara Bravo,2,69.5
 Ciara Janson,1,69.0
 Ciaran Griffiths,1,15.0
 Ciaran McCabe,1,53.0
 Ciarán Hinds,5,60.6
 Ciarán Owens,1,70.0
 Cicely Tyson,3,58.666666666666664
 Cici Wang,1,50.0
 Cigano Satyohamba,1,21.0
 Cindy Cheung,2,59.5
 Cindy Herron,1,74.0
 Cindy Mahlangu,1,72.0
 Cindy Morgan,1,71.0
 Cindy Robinson,4,57.25
 Cinta Laura Kiehl,1,13.0
 Ciro Herce,1,29.0
 Cissy Houston,1,45.0
 Citi Bet Baydi,1,16.0
 Citra Prima,1,30.0
 Cj Sykes,1,11.0
 Claire Danes,2,70.0
 Claire Forlani,2,63.5
 Claire Foy,2,33.5
 Claire Holt,3,54.666666666666664
 Claire Keelan,1,71.0
 Claire Rushbrook,1,62.0
 Claire Selby,1,83.0
 Claire van der Boom,1,60.0
 Clancy Brown,4,45.75
 Clara Alonso,2,48.0
 Clara Bernadeth,1,59.0
 Clara Bryant,1,55.0
 Clara Lago,2,43.5
 Clara Read,1,62.0
 Clara Segura,2,68.5
 Clara Voda,1,43.0
 Clare Kramer,2,49.5
 Clare Marshall,1,2.0
 Clarence Delgado,1,14.0
 Clarence Gilyard Jr,1,33.0
 Clarence John Ryan,1,62.0
 Clarence Nash,5,39.4
 Clarence Straight,1,1.0
 Clarissa Müller,1,46.0
 Clark Duke,1,56.0
 Clark Johnson,1,72.0
 Clarke Peters,3,71.33333333333333
 Claude Musungayi,1,28.0
 Claudette Colbert,1,14.0
 Claudette Maillé,1,24.0
 Claudette Wells,1,75.0
 Claudia Black,1,64.0
 Claudia Canal,1,57.0
 Claudia Cardinale,3,52.0
 Claudia Christian,1,81.0
 Claudia Ciesla,1,10.0
 Claudia Ferri,1,67.0
 Claudia Jessie,1,76.0
 Claudia Lee,1,53.0
 Claudia O'Doherty,1,59.0
 Claudia Placer,1,64.0
 Claudia Riera,1,14.0
 Claudia Salas,1,60.0
 Claudia Solís,1,64.0
 Claudia Sulewski,1,20.0
 Claudia Tranchese,2,54.0
 Claudia Zepeda,1,18.0
 Claudie Blakley,1,75.0
 Claudine Bertin,1,21.0
 Claudine Mboligikpelani Nako,1,74.0
 Claudio Giangreco,1,10.0
 Claudio Martínez Bel,1,58.0
 Claudio Rissi,1,63.0
 Claudio Santamaria,1,29.0
 Claudio Tolcachir,1,21.0
 Claudio Torres,1,14.0
 Clayne Crawford,1,63.0
 Clayton Adams,1,37.0
 Clayton Hoff,1,63.0
 Clayton Moore,1,1.0
 Clea DuVall,3,53.666666666666664
 Clea Lewis,2,49.5
 Clem Bevans,1,45.0
 Clemens Schick,1,44.0
 Cleo King,3,36.666666666666664
 Cliff Curtis,2,69.5
 Cliff De Young,1,62.0
 Cliff Edwards,1,63.0
 Cliff Miller,1,20.0
 Cliff Robertson,1,71.0
 Cliff Yates,1,14.0
 Clifton Collins,1,55.0
 Clifton Collins Jr.,2,44.0
 Clifton Davis,2,36.5
 Clifton James,1,18.0
 Clifton Powell,1,56.0
 Clint Howard,1,13.0
 Clive Owen,3,66.66666666666667
 Clive Russell,1,56.0
 Clive Standen,1,60.0
 Clodd Dias,1,57.0
 Clotilde Courau,1,62.0
 Clotilde Hesme,2,73.0
 Clovis Fouin,1,24.0
 Clyde Kusatsu,1,38.0
 Cláudia Okuno,1,22.0
 Clément Sibony,1,47.0
 Cobie Smulders,1,55.0
 Coco Assad,1,31.0
 Coco Chiarella,1,64.0
 Coco Martin,2,7.5
 Cocoa Brown,1,82.0
 Cody Glenn,1,76.0
 Cody Hackman,1,52.0
 Cody Kearsley,2,51.0
 Cody McMains,1,49.0
 Cody Ross Pitts,1,55.0
 Cody Sloan,1,63.0
 Cohen Holloway,1,26.0
 Colby Arps,1,36.0
 Cole Hauser,2,54.0
 Cole Howard,3,12.666666666666666
 Cole Sand,3,54.0
 Cole Sprouse,3,45.333333333333336
 Colette Kieffer,1,76.0
 Colin Branca,1,13.0
 Colin Farrell,4,67.5
 Colin Ferguson,1,32.0
 Colin Firth,2,51.5
 Colin Ford,2,30.0
 Colin Fox,1,33.0
 Colin Hanks,2,40.5
 Colin Lawrence,1,51.0
 Colin Moody,1,60.0
 Colin Murdock,1,8.0
 Colin O'Donoghue,3,54.333333333333336
 Colin Quinn,1,51.0
 Colin Salmon,2,53.0
 Colin Stark,1,25.0
 Colin Stinton,1,74.0
 Colleen Smith,1,58.0
 Collin Kelly-Sordelet,1,55.0
 Collin Mothupi,1,31.0
 Collin Wilcox Paxton,1,55.0
 Collins Pennie,1,34.0
 Colm Feore,4,56.25
 Colm Meaney,4,62.5
 Colman Domingo,2,74.5
 Colton Dunn,1,59.0
 Colton Woodward,1,85.0
 Columbus Short,3,58.0
 Common,8,54.875
 Con O'Neill,1,67.0
 Conan McCarty,1,60.0
 Conchata Ferrell,1,66.0
 Coney Reyes,1,49.0
 Congresswoman Maloney,1,29.0
 Conleth Hill,1,76.0
 Connie Britton,1,52.0
 Connie Chung,1,39.0
 Connie Nielsen,3,38.666666666666664
 Connor Del Rio,1,33.0
 Connor Dempsey,1,15.0
 Connor Funk,1,43.0
 Connor Jessup,1,60.0
 Connor Swindells,1,85.0
 Conor MacNeill,1,70.0
 Conor Quinlan,1,70.0
 Conrad Anker,1,38.0
 Conrad Coates,1,24.0
 Conrad Dunn,1,35.0
 Conrad Magwaza,1,48.0
 Conroy Chan,1,22.0
 Constance Dollé,2,52.5
 Constance Dowling,1,23.0
 Constance Marie,1,68.0
 Constance Rousseau,1,61.0
 Constance Shulman,1,43.0
 Constance Towers,1,37.0
 Constance Wu,2,70.5
 Constanza Camelo,1,32.0
 Consuelo Trujillo,1,64.0
 Consuelo Vega,1,21.0
 Cooper Daniel Johnson,1,9.0
 Cooper Huckabee,2,36.0
 Cooper Roth,1,41.0
 Cooper Rowe,1,53.0
 Corbin Allred,2,14.5
 Corbin Bernsen,5,26.2
 Corbin Reid,1,47.0
 Cord Newman,1,22.0
 Cordelia Comando,1,72.0
 Corentin Fila,1,43.0
 Corey Allen,2,78.0
 Corey Burton,7,51.57142857142857
 Corey Feldman,2,24.0
 Corey Johnson,3,64.33333333333333
 Corey Large,1,36.0
 Corey Parker Robinson,1,60.0
 Corey Sevier,1,21.0
 Corey Stoll,2,62.0
 Corinna Harfouch,1,9.0
 Corinne Bohrer,2,51.0
 Corinne Foxx,1,69.0
 Cork Hubbert,1,52.0
 Cornel West,1,74.0
 Cornelia Guest,1,72.0
 Cornell Royal,1,74.0
 Corrado Invernizzi,1,39.0
 Cortney Palm,1,27.0
 Cory Bowles,3,54.0
 Cory DuVal,1,56.0
 Cory Hardrict,4,49.5
 Cory Michael Smith,2,64.5
 Cosima Shaw,1,44.0
 Cosme Castro,1,55.0
 Coumba Dieng,1,77.0
 Courteney Cox,3,46.333333333333336
 Courtland Mead,1,62.0
 Courtnee Draper,1,52.0
 Courtney B. Vance,2,61.0
 Courtney Bandeko,1,70.0
 Courtney Dietz,1,46.0
 Courtney Eaton,1,62.0
 Courtney Shaw,1,61.0
 Coy Stewart,1,22.0
 Craig Anton,2,36.0
 Craig Bierko,1,62.0
 Craig Fairbrass,2,66.5
 Craig Ferguson,2,78.0
 Craig Hall,1,37.0
 Craig Kelly,1,84.0
 Craig Nelson,1,60.0
 Craig Parkinson,1,64.0
 Craig Roberts,1,62.0
 Craig Robinson,5,57.4
 Craig Robinson & The Nasty Delicious,1,37.0
 Craig Stark,1,49.0
 Craig Stevenson,1,74.0
 Craig T. Nelson,2,57.0
 Craig Thomson,1,42.0
 Cree Summer,3,58.0
 Creed Bratton,1,58.0
 Cress Williams,1,62.0
 Cressida Bonas,1,34.0
 Cris Villonco,1,17.0
 Crispin Glover,6,43.666666666666664
 Crista Flanagan,1,35.0
 Cristela Alonzo,1,65.0
 Cristian Bota,1,45.0
 Cristian Cuentrejoa,1,16.0
 Cristina Cappelli,1,68.0
 Cristina Castaño,1,55.0
 Cristina Donadio,1,53.0
 Cristina Marie,1,60.0
 Cristina Pucelli,1,51.0
 Cristina Umaña,1,74.0
 Cristina Vee,1,57.0
 Cristine Reyes,2,23.5
 Cristián de la Fuente,1,14.0
 Cristobal Tapia Montt,1,8.0
 Crystal Lowe,3,44.333333333333336
 Crystal Scales,1,63.0
 Cullen Moss,1,53.0
 Cung Le,2,51.0
 Curt Hansen,1,34.0
 Curtis Armstrong,1,55.0
 Curtis Harris,1,39.0
 Curtis York,1,18.0
 Cut Mini Theo,1,31.0
 Cy Peck Jr.,1,24.0
 Cyd Strittmatter,1,35.0
 Cydney J. Fam,1,31.0
 Cylk Cozart,1,63.0
 Cynda Williams,1,56.0
 Cynthia Addai-Robinson,1,44.0
 Cynthia Capers,1,67.0
 Cynthia Evans,1,68.0
 Cynthia Kaye McWilliams,1,13.0
 Cynthia Klitbo,1,37.0
 Cynthia Nixon,4,53.0
 Cynthia O'Neal,1,76.0
 Cynthia Rothrock,1,24.0
 Cynthia Ruffin,1,71.0
 Cynthia Stevenson,1,46.0
 Cyril Nri,1,67.0
 Cyril O'Reilly,2,47.5
 Cyron Melville,1,52.0
 Cyrus McQueen,1,74.0
 Cyrus Sahukar,1,18.0
 Cécile de France,1,52.0
 Céline Ronté,1,76.0
 Céline Sallette,2,47.0
 César Bandera,1,59.0
 César Cambeiro,1,70.0
 César Mello,1,69.0
 César Rodríguez,1,19.0
 D'Arcy Carden,1,57.0
 D. Garnet Harding,1,66.0
 D. Justyn Ryan,1,60.0
 D.G. Maloney,1,57.0
 D.J. Cotrona,1,53.0
 D.L. Hughley,2,44.0
 DJ Amorim,1,69.0
 DJ Khaled,1,65.0
 DJ Qualls,3,60.0
 DMX,1,50.0
 DOROTHY REVIER,1,43.0
 Da'Vine Joy Randolph,1,79.0
 Da'Vone McDonald,1,41.0
 Dace Norman,1,66.0
 Dacre Montgomery,1,47.0
 Dada Chan,1,12.0
 Daffany Clark,1,31.0
 Dagny Backer Johnsen,1,58.0
 Dai Hasegawa,2,43.5
 Daichi Harashima,1,24.0
 Daigo,1,68.0
 Daiken Okudaira,1,65.0
 Daiki Yamashita,3,61.666666666666664
 Dain Said,1,10.0
 Dairon Tallon,1,28.0
 Daisuke Kishio,1,45.0
 Daisuke Namikawa,2,65.5
 Daisuke Ono,2,51.0
 Daisuke Sakaguchi,2,60.5
 Daisy Anderson,1,29.0
 Daisy Irani,1,7.0
 Daisy Prescott,1,28.0
 Daisy Ridley,1,60.0
 Dakota Fanning,5,52.6
 Dakota Goyo,1,53.0
 Dal-su Oh,1,65.0
 Dale Carley,1,39.0
 Dale Dickey,4,63.75
 Dale Evans,1,17.0
 Dale Ishimoto,1,45.0
 Dale Watson,1,38.0
 Dalila Bela,1,16.0
 Dalip Tahil,2,24.5
 Daljeet Singh,1,28.0
 Dallas Roberts,2,66.0
 Dalton Vigh,2,32.5
 Damayanti Quintanar,1,24.0
 Damian Alexander D'Souza,1,27.0
 Damian Chapa,1,66.0
 Damian Hardung,1,18.0
 Damian Lau,1,55.0
 Damian Maffei,1,53.0
 Damian Woetzel,1,37.0
 Damien Chapelle,1,22.0
 Damien Echols,1,83.0
 Damien Mander,1,78.0
 Damin Duke Domingue,1,45.0
 Daming Chen,1,45.0
 Damon Herriman,2,71.5
 Damon Sperber,1,45.0
 Damon Wayans Jr.,2,64.5
 Damon Younger,1,72.0
 Damon Zarro,1,55.0
 Damoo Kenkre,1,4.0
 Damson Idris,1,51.0
 Damyanti Puri,1,37.0
 Dan Antopoloski,1,35.0
 Dan Aykroyd,1,40.0
 Dan Breitman,1,51.0
 Dan Bucatinsky,1,70.0
 Dan Butler,1,56.0
 Dan Byrd,2,60.5
 Dan Castellaneta,1,76.0
 Dan Chupong,1,49.0
 Dan Daily,1,60.0
 Dan Donohue,1,67.0
 Dan Edwards,1,41.0
 Dan Fogelman,1,71.0
 Dan Fogler,4,50.25
 Dan Futterman,1,71.0
 Dan Hedaya,1,62.0
 Dan Lauria,1,8.0
 Dan McCoy,1,35.0
 Dan Milano,1,68.0
 Dan Monahan,1,52.0
 Dan O'Herlihy,1,9.0
 Dan Payne,2,26.0
 Dan Schneider,1,53.0
 Dan Shor,1,71.0
 Dan Skinner,1,65.0
 Dan Spielman,1,38.0
 Dan Stevens,2,69.5
 Dan Styles,1,69.0
 Dan Wyllie,2,68.5
 Dana Andrews,1,24.0
 Dana Ashbrook,1,50.0
 Dana Davis,1,34.0
 Dana Fuchs,1,72.0
 Dana Gourrier,2,62.0
 Dana Hill,1,51.0
 Dana Min Goodman,1,51.0
 Dana Woods,1,38.0
 Dana Wynter,1,82.0
 Danay Garcia,1,51.0
 Dane Clark,1,3.0
 Dane Cook,1,67.0
 Dane Davis,1,70.0
 Dane DeHaan,2,59.0
 Dane Hughes,1,65.0
 Dane Martinez,1,70.0
 Dani,1,23.0
 Dani El Rojo,1,52.0
 Dani Ornellas,1,48.0
 Dania Ramirez,1,82.0
 Danica Curcic,1,56.0
 Danica McKellar,1,47.0
 Daniel A. Vasquez,1,66.0
 Daniel Amerman,1,37.0
 Daniel Arenas,1,37.0
 Daniel Aráoz,1,21.0
 Daniel Bacon,1,57.0
 Daniel Balaji,1,38.0
 Daniel Baldwin,1,29.0
 Daniel Bellomy,1,59.0
 Daniel Benzali,2,50.0
 Daniel Bernhardt,1,22.0
 Daniel Booko,2,44.5
 Daniel Britt,1,9.0
 Daniel Brühl,2,72.0
 Daniel Coonan,1,24.0
 Daniel Craig,2,35.5
 Daniel Cudmore,2,39.5
 Daniel Currás,1,76.0
 Daniel Dae Kim,1,59.0
 Daniel Day-Lewis,1,75.0
 Daniel Duval,1,33.0
 Daniel Edward Mora,1,58.0
 Daniel Fuster,1,70.0
 Daniel Gerroll,1,59.0
 Daniel Gillies,1,38.0
 Daniel Giménez Cacho,1,31.0
 Daniel Hagen,1,67.0
 Daniel Hansen,1,68.0
 Daniel Hendler,1,45.0
 Daniel Henney,2,74.5
 Daniel Henshall,1,65.0
 Daniel Holguín,1,62.0
 Daniel Jumillas,1,43.0
 Daniel Kash,2,33.5
 Daniel Kountz,1,64.0
 Daniel Lujan,1,76.0
 Daniel Lundh,1,66.0
 Daniel Magder,1,28.0
 Daniel Mays,3,59.666666666666664
 Daniel Moncada,1,69.0
 Daniel Muñoz,1,10.0
 Daniel O'Meara,1,59.0
 Daniel Padilla,3,32.333333333333336
 Daniel Pilon,1,33.0
 Daniel Pollock,1,68.0
 Daniel R. Hill,1,62.0
 Daniel Radcliffe,1,71.0
 Daniel Raymont,1,70.0
 Daniel Rocha,1,22.0
 Daniel Ross,1,21.0
 Daniel Sauli,1,67.0
 Daniel Stern,3,57.333333333333336
 Daniel Sträßer,1,55.0
 Daniel Sánchez Arévalo,1,44.0
 Daniel Webber,1,56.0
 Daniel Wu,3,48.333333333333336
 Daniel Zolghadri,3,67.33333333333333
 Daniel von Bargen,1,61.0
 Daniela Barbosa,1,48.0
 Daniela Bascopé,1,23.0
 Daniela Estrada,1,52.0
 Daniela Scattolin,1,45.0
 Daniela Vega,1,69.0
 Daniela Wong,1,21.0
 Daniele Mariani,1,22.0
 Daniele Pecci,1,48.0
 Daniele Pilli,1,39.0
 Daniella Monet,1,28.0
 Daniella Pineda,1,66.0
 Danielle Brooks,1,39.0
 Danielle Campbell,3,50.666666666666664
 Danielle Carter,1,50.0
 Danielle Chuchran,1,38.0
 Danielle Deadwyler,1,21.0
 Danielle Haim,1,72.0
 Danielle Harris,1,39.0
 Danielle Kirlin,1,4.0
 Danielle Macdonald,2,74.0
 Danielle Panabaker,2,55.0
 Danielle Ryan,1,54.0
 Daniil Vorobyov,1,48.0
 Danila Kozlovsky,1,59.0
 Danish Husain,1,43.0
 Danish Hussain,2,47.5
 Danish Taimoor,1,13.0
 Danneel Harris,1,35.0
 Dannia Salsabila,1,15.0
 Danny Aiello,1,85.0
 Danny Boushebel,1,46.0
 Danny Chan,1,69.0
 Danny Chan Kwok-kwan,1,76.0
 Danny Cooksey,1,41.0
 Danny DeVito,6,62.666666666666664
 Danny Denzongpa,1,10.0
 Danny Dyer,1,58.0
 Danny Fields,1,75.0
 Danny Flaherty,2,59.0
 Danny Glover,5,59.8
 Danny Hoch,2,56.0
 Danny Huston,2,59.5
 Danny Jacobs,1,81.0
 Danny James,1,15.0
 Danny Kamekona,1,57.0
 Danny Mann,1,69.0
 Danny Masterson,1,59.0
 Danny Max,1,16.0
 Danny McBride,3,65.66666666666667
 Danny Pudi,1,66.0
 Danny Sapani,2,43.5
 Danny Trejo,10,40.5
 Danny Vinson,1,28.0
 Danny Webb,2,66.5
 Danny Woodburn,2,31.5
 Dante Basco,2,52.5
 Dante Rivero,1,23.0
 Danuta Stenka,2,57.5
 Daphne Nije,1,14.0
 Daphne Zuniga,1,28.0
 Dar Salim,1,75.0
 Dara McGarry,1,68.0
 Dara Our,1,42.0
 Dara Phang,1,42.0
 Dara Renee,1,26.0
 Dara Singh,2,44.0
 Daran Norris,2,68.0
 Darby Camp,1,63.0
 Darby Stanchfield,1,28.0
 Darcey Wilson,1,64.0
 Darci Shaw,1,65.0
 Darcy Laurie,1,32.0
 Darcy Rose Byrnes,3,21.666666666666668
 Daria Midou,1,71.0
 Darin De Paul,1,81.0
 Dariusz M. Uczkowski,1,54.0
 Darla Biccum,1,32.0
 Darly Wanatick,1,60.0
 Darol Rice,1,1.0
 Darrell Larson,1,70.0
 Darrell Mitchell,1,22.0
 Darren Barnet,2,63.5
 Darren Criss,2,68.5
 Darren Ferdinando,1,13.0
 Darren Pettie,2,32.5
 Darren Ritchie,1,49.0
 Darren Shahlavi,1,77.0
 Darren Tighe,1,31.0
 Darrett Sanders,1,34.0
 Darrin Dewitt Henson,3,31.0
 Darryl Kurylo,1,78.0
 Darryl Quon,1,52.0
 Darshan Jariwala,2,45.5
 Darshan Jariwalla,1,21.0
 Darshan Kumaar,1,35.0
 Darshan Pandya,1,61.0
 Darshana Rajendran,2,43.5
 Darwin Shaw,1,59.0
 Daryl Hannah,4,52.0
 Daryl Jackson,1,11.0
 Daryl Sabara,4,49.0
 Darío Barassi,1,28.0
 Darío T. Pie,1,35.0
 Dascha Polanco,1,55.0
 Dash Mihok,1,61.0
 Dasha Charusha,1,59.0
 Dasha Nekrasova,1,18.0
 Dato Bakhtadze,1,35.0
 Dave Attell,1,21.0
 Dave B. Mitchell,1,9.0
 Dave Coulier,1,52.0
 Dave East,1,77.0
 Dave Fennoy,1,18.0
 Dave Ferguson,1,59.0
 Dave Goelz,3,74.66666666666667
 Dave Matthews,1,53.0
 Dave O'Brien,1,20.0
 Dave Schultz,1,58.0
 Dave Semenko,1,58.0
 Dave Sheridan,3,45.0
 Dave Smith,1,76.0
 Dave Thomas,1,59.0
 Daveed Diggs,2,53.0
 Daveigh Chase,1,63.0
 Davey Grant,1,75.0
 David A.R. White,1,10.0
 David Abraham,3,48.0
 David Ajala,1,52.0
 David Ali Rashed,1,75.0
 David Allen Kramer,1,66.0
 David Arquette,1,41.0
 David Aston,1,55.0
 David Bailie,1,54.0
 David Banner,1,17.0
 David Belle,2,52.0
 David Bernie,1,15.0
 David Blackwell,1,22.0
 David Boat,1,67.0
 David Bradley,2,32.0
 David Calder,1,76.0
 David Carpenter,1,68.0
 David Carradine,1,3.0
 David Chao,1,70.0
 David Chen,1,9.0
 David Collins,1,35.0
 David Costabile,1,54.0
 David Cowgill,1,75.0
 David Cronenberg,1,82.0
 David Cross,4,62.25
 David Dastmalchian,1,63.0
 David DeLuise,5,35.8
 David Del Rio,2,63.5
 David Dencik,2,58.0
 David Denman,2,52.5
 David Dorfman,1,63.0
 David Duchovny,1,51.0
 David Edwards,1,42.0
 David Elms,1,31.0
 David Errigo Jr,1,78.0
 David Essex,1,22.0
 David Fernandez Jr.,1,17.0
 David Foster,1,52.0
 David Goldman,1,78.0
 David Gorcey,1,20.0
 David Grisman,1,34.0
 David Gyasi,1,73.0
 David Harbour,1,47.0
 David Hasselhoff,2,48.0
 David Haverty,1,54.0
 David Hayman,2,70.0
 David Healy,1,48.0
 David Henrie,2,72.5
 David Howard Thornton,1,56.0
 David Hyde Pierce,1,60.0
 David James,1,79.0
 David James Elliott,2,48.0
 David Kallaway,1,73.0
 David Kaye,1,48.0
 David Keith,1,29.0
 David Kelley,1,7.0
 David Kelly,1,58.0
 David Koechner,4,45.0
 David Kross,1,73.0
 David Krumholtz,2,63.5
 David La Haye,1,59.0
 David Ladd,1,34.0
 David Landau,1,44.0
 David Lodge,2,52.5
 David Lyons,2,65.0
 David Mandelbaum,1,83.0
 David Mazouz,1,40.0
 David Meunier,1,81.0
 David Michie,1,32.0
 David Milchard,1,17.0
 David Millbern,1,28.0
 David Morse,3,59.666666666666664
 David Moscow,1,60.0
 David Moxham,1,22.0
 David Murgia,1,47.0
 David Nichtern,1,83.0
 David Nicolle,1,70.0
 David Niven,2,76.0
 David O'Hara,1,21.0
 David Ogden Stiers,5,58.6
 David Ojalvo,1,62.0
 David Oyelowo,1,72.0
 David Paetkau,1,32.0
 David Patrick Kelly,2,76.0
 David Pearse,2,64.5
 David Pepper,1,78.0
 David Pierce,1,70.0
 David Prada,1,37.0
 David Proval,1,82.0
 David Raine,1,38.0
 David Reivers,1,58.0
 David Richmond-Peck,1,68.0
 David Ross Paterson,1,75.0
 David Rudman,1,76.0
 David Sazant,1,32.0
 David Schaal,1,8.0
 David Schofield,1,67.0
 David Schwimmer,3,58.666666666666664
 David Schütter,1,9.0
 David Shaughnessy,1,81.0
 David Sheridan,1,48.0
 David Sherwood,1,2.0
 David Shumbris,1,60.0
 David Solans,1,88.0
 David Soul,1,4.0
 David Spade,4,58.0
 David Steen,1,84.0
 David Stiers,4,52.5
 David Strathairn,6,63.666666666666664
 David Suchet,2,59.5
 David Sullivan,1,45.0
 David Tennant,2,43.0
 David Theune,1,59.0
 David Thewlis,2,65.5
 David Thornton,1,28.0
 David Tomlinson,1,82.0
 David Tran,1,50.0
 David Tse,1,42.0
 David Valencia,1,54.0
 David Verdaguer,1,70.0
 David Vert,1,52.0
 David W. Thompson,2,75.0
 David Walliams,1,72.0
 David Walmsley,1,15.0
 David Warner,1,71.0
 David Warshofsky,2,77.0
 David Wayman,1,8.0
 David Welty,1,3.0
 David Wenham,2,55.0
 David Willis,1,85.0
 David Winning,1,55.0
 David Yow,1,73.0
 David Zayas,2,48.0
 Davide Calgaro,1,40.0
 Davide Riso,1,10.0
 Davie Aldrich,1,17.0
 Davina McCall,1,78.0
 Davood Ghadami,1,59.0
 Davy Kaye,1,69.0
 Davíð Freyr Þórunnarson,1,33.0
 Daweerit Chullasapya,1,38.0
 Dawn Zulueta,2,34.0
 Dawson Ehlke,1,27.0
 Dax Shepard,2,48.0
 Day Mesquita,1,29.0
 Daya Shankar Pandey,1,60.0
 Dayo Okeniyi,1,53.0
 Dayton Callie,1,33.0
 De Klerk Oelofse,1,27.0
 De'Vaughn Nixon,1,49.0
 DeRay Davis,2,43.5
 DeVaughn Gow,1,8.0
 DeWanda Wise,1,64.0
 Dean Cain,2,44.0
 Dean Chaumoo,1,67.0
 Dean Denton,1,16.0
 Dean Geyer,1,57.0
 Dean Jagger,2,29.0
 Dean Jones,3,63.333333333333336
 Dean Norris,1,70.0
 Dean Stockwell,1,73.0
 Dean Winters,2,67.0
 Deangelo Davis,1,5.0
 Deanne Lauvin,1,10.0
 Deb Mukherjee,1,62.0
 Debbi Morgan,1,72.0
 Debbie Harry,1,73.0
 Debby Ryan,2,34.0
 Debi Derryberry,4,42.75
 Debi Mazar,2,35.5
 Debo Adegbile,1,78.0
 Debo Andryos,1,45.0
 Debora-Lee Furness,1,23.0
 Deborah Kara Unger,2,11.5
 Deborah Mailman,2,68.0
 Deborah Raffin,1,63.0
 Deborah Rosan,1,83.0
 Debra Messing,1,37.0
 Debra Monk,1,65.0
 Debra Rupp,1,49.0
 Debra Wilson,1,37.0
 Debrianna Mansini,1,40.0
 December Ensminger,1,53.0
 Declan Hannigan,1,27.0
 Deddy Mahendra Desta,1,30.0
 Deddy Sutomo,1,18.0
 Dee Baker,1,83.0
 Dee Bradley Baker,2,47.0
 Dee Dee Green,1,60.0
 Dee Hennigan,1,16.0
 Dee Wallace,2,31.5
 DeeDee Bigelow,1,5.0
 Deejay Durano,1,20.0
 Deelia Meriel,1,35.0
 Deep Raj Rana,1,77.0
 Deepa Mehta,1,26.0
 Deepak Damle,2,47.5
 Deepak Dobriyal,4,53.25
 Deepak Gheewala,1,39.0
 Deepak Qazir,1,55.0
 Deepak Tijori,2,42.0
 Deepali Suryakant Badekar,1,69.0
 Deepika Amin,2,51.0
 Deepika Bhide Bhagwat,1,76.0
 Deepika Padukone,5,54.4
 Deepjyoti Kalita,1,28.0
 Deepshikha,1,13.0
 Deepti Gujral,1,41.0
 Deepti Naval,3,33.0
 Deepti Sati,1,46.0
 Deirdre Bowen,1,82.0
 Dejan Cukic,1,74.0
 Delfina Chaves,1,37.0
 Delia Mayer,1,83.0
 Delnaaz Paul,1,10.0
 Delphine Chaneac,1,20.0
 Delphine Seyrig,1,85.0
 Delroy Lindo,1,69.0
 Delta Burke,1,51.0
 Delzad Hiwale,3,38.333333333333336
 Demet Özdemir,1,27.0
 Demetri Goritsas,1,71.0
 Demetrius Grosse,1,75.0
 Demetrius Shipp Jr.,1,61.0
 Demi Lovato,2,53.0
 Demore Barnes,1,31.0
 Demosthenes Chrysan,1,17.0
 Denden,2,43.5
 Dendrie Taylor,2,57.0
