,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
150,s151,Movie,The Taking of Pelham 1 2 3,,,"United States, United Kingdom",1-Oct-21,2009,R,106 min,"Action, Adventure, Black Stories","Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.",hulu,59.0,tt1111422,Action
151,s152,Movie,The Untouchables,,,,1-Oct-21,1987,R,119 min,"Classics, Crime, Drama",This theatrical feature is based on the popular TV series about the campaign of U.S. Prohibition Bureau agent Eliot Ness to smash the beer and booze empire of Al Capone in 1920s Chicago.,hulu,77.0,tt0094226,Classics
152,s153,Movie,The Village,,,,1-Oct-21,2004,PG-13,108 min,"Horror, Thriller",An idyllic village is threatened by creatures in the woods nearby.,hulu,53.0,tt0368447,Horror
153,s154,Movie,The Vow,,,,1-Oct-21,2012,TV-14,104 min,"Drama, Romance","Inspired by a true story, The Vow tells the tale of a husband (Channing Tatum) who must regain the love of his wife (Rachel McAdams) after a coma steals the past five years of her memories.",hulu,59.0,tt1606389,Drama
155,s156,Movie,Total Recall,,,,1-Oct-21,2012,TV-14,118 min,"Action, Adventure, Science Fiction",A factory worker becomes a hunted man after a procedure goes awry that would convert his dreams of life as a spy into real memories.,hulu,54.0,tt1386703,Action
156,s157,Movie,Unforgettable,,,,1-Oct-21,2017,R,100 min,"Drama, Thriller","When her ex-husband announces that he plans to remarry, a woman sets out to destroy his new bride.",hulu,52.0,tt5615904,Drama
157,s158,Movie,Victor Frankenstein,,,"United Kingdom, Canada, United States",1-Oct-21,2015,PG-13,110 min,"Drama, Horror",The story of Frankenstein and his monster is brought to eye-popping new life in this lavish update with Daniel Radcliffe and James McAvoy.,hulu,45.0,tt1976009,Drama
158,s159,Movie,Waitress,,,,1-Oct-21,2007,PG-13,108 min,"Comedy, Drama, Romance","Late filmmaker Adrienne Shelly's funny, poignant tale of a small-town waitress caught in the middle of some big-time problems.",hulu,73.0,tt0473308,Comedy
160,s161,Movie,Within,,,,1-Oct-21,2016,R,88 min,"Horror, Thriller",A widower moves into a new house and learns that the previous owners mysteriously vanished.,hulu,47.0,tt3612320,Horror
161,s162,Movie,Wolves at the Door,,,,1-Oct-21,2016,R,72 min,"Drama, Horror, Thriller",Four friends endure a horrifying home invasion in the Hollywood Hills in 1969.,hulu,40.0,tt4670016,Drama
162,s163,Movie,Wrong Turn 2: Dead End,,,,1-Oct-21,2007,R,96 min,"Drama, Horror, Thriller",Contestants in a reality show find themselves playing a game of life-or-death when they encounter a band of inbred hillbilly cannibals.,hulu,56.0,tt0804555,Drama
163,s164,TV Show,American Dad!,,,United States,30-Sep-21,2005,TV-14,16 Seasons,"Adult Animation, Comedy, Sitcom",This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,hulu,73.0,tt0397306,Adult Animation
168,s169,Movie,Minor Premise,,,,29-Sep-21,2020,,96 min,"Science Fiction, Thriller","Attempting to surpass his father's legacy, a reclusive neuroscientist becomes entangled in his own experiment, pitting ten fragments of his consciousness against each other.",hulu,66.0,tt12680508,Science Fiction
172,s173,TV Show,Wild Crime,,,,28-Sep-21,2021,,1 Season,Documentaries,Wild Crime tells the story of one of the most notorious murders ever committed in a National Park. The series follows Special Agent Beth Shott of the Investigative Services Branch (the elite detective force of the National Park Service) as she and her team doggedly pursue the suspect through three years of twists and turns until he is arrested and convicted.,hulu,16.0,tt15489004,Documentaries
173,s174,TV Show,Bob's Burgers,,,United States,27-Sep-21,2011,TV-14,12 Seasons,"Adult Animation, Comedy, Sitcom","Bob runs Bob's Burgers with the help of his wife and their three kids. Business may be slow, but they never give up hope.",hulu,79.0,tt1561755,Adult Animation
174,s175,TV Show,Family Guy,,,United States,27-Sep-21,1999,TV-14,20 Seasons,"Adult Animation, Comedy, Sitcom",The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,hulu,69.0,tt0182576,Adult Animation
176,s177,TV Show,The Great North,,,United States,27-Sep-21,2021,TV-PG,2 Seasons,"Adult Animation, Comedy, Sitcom","Following the adventures of the Tobin family, as single dad Beef tries to keep his kids close.",hulu,64.0,tt9140632,Adult Animation
177,s178,TV Show,The Rookie,,,United States,27-Sep-21,2018,TV-14,4 Seasons,"Crime, Drama","Starting over isn’t easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis. If he can’t keep up with the young cops and the criminals, he’ll be risking lives including his own. But if he can use his life experience, determination and sense of humor to give him an edge, he may just become a success in this new chapter of his life.",hulu,74.0,tt7587890,Crime
178,s179,TV Show,The Simpsons,,,United States,27-Sep-21,1989,TV-PG,2 Seasons,"Adult Animation, Comedy, Sitcom","This long-running animated comedy focuses on the eponymous family in the town of Springfield in an unnamed U.S. state. The head of the Simpson family, Homer, is not a typical family man. A nuclear-plant employee, he does his best to lead his family but often finds that they are leading him. The family includes loving, blue-haired matriarch Marge, troublemaking son Bart, overachieving daughter Lisa and baby Maggie. Other Springfield residents include the family's religious neighbor, Ned Flanders, family physician Dr. Hibbert, Moe the bartender and police chief Clancy Wiggum.",hulu,82.0,tt0096697,Adult Animation
179,s180,TV Show,BMF,,,,26-Sep-21,2021,,1 Season,"Crime, Drama","The story of how Demetrius ""Big Meech"" Flenory formed a criminal empire in Detroit known as the Black Mafia Family.",hulu,73.0,tt3850598,Crime
181,s182,Movie,Gemini,,,United States,25-Sep-21,2017,R,93 min,"Drama, Horror, Mystery","A heinous crime tests the complex relationship between a Hollywood starlet and her tenacious personal assistant. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity.",hulu,60.0,tt5795086,Drama
182,s183,TV Show,Law & Order: Special Victims Unit,,,United States,24-Sep-21,1999,TV-14,23 Seasons,"Crime, Drama, Mystery","This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes.",hulu,76.0,tt0203259,Crime
183,s184,TV Show,The Eric Andre Show,,,United States,24-Sep-21,2012,TV-14,5 Seasons,Comedy,"Just another talk show? Think again. The Eric Andre Show may be the most manic and unorthodox late night talk show ever made. The show’s traditional talk show format quickly devolves into chaos as its inept and bipolar host Eric Andre, along with his apathetic co-host Hannibal Buress (30 Rock, SNL), subvert all late-night conventions.",hulu,85.0,tt2244495,Comedy
188,s189,Movie,Funhouse,,,,23-Sep-21,2019,,106 min,Horror,"8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences broadcast live to the entire world.",hulu,54.0,tt6852534,Horror
189,s190,TV Show,Home Economics,,,,23-Sep-21,2021,TV-PG,2 Seasons,"Comedy, Sitcom","A look at the heartwarming, yet super uncomfortable and sometimes frustrating relationship between three adult siblings: one in the 1%, one middle-class and one barely holding on.",hulu,64.0,tt9214684,Comedy
190,s191,TV Show,The Conners,,,United States,23-Sep-21,2018,TV-PG,1 Season,"Comedy, Sitcom","After a sudden turn of events, the Conner family is forced to face the daily struggles of life in a way they never have before. This iconic family continues to demonstrate that laughter, conversation and love can overcome anything.",hulu,67.0,tt8595140,Comedy
191,s192,TV Show,The Croods: Family Tree,,,,23-Sep-21,2021,TV-G,1 Season,"Adventure, Family, Kids","Following the events in the feature film THE CROODS: A NEW AGE, two very different families join forces to create a new community, an us-against-the-world, cave person co-op on the most amazing farm in the history of prehistory!",hulu,45.0,tt15341442,Adventure
192,s193,TV Show,The Goldbergs,,,United States,23-Sep-21,2013,TV-PG,9 Seasons,"Comedy, Family, Sitcom","The Goldbergs are a loving family like any other, just with a lot more yelling, but for geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy.",hulu,73.0,tt2712740,Comedy
193,s194,TV Show,The Masked Singer,,,United States,23-Sep-21,2019,TV-PG,6 Seasons,"Comedy, Music, Reality","Based on an international hit, which already is a viral phenomenon with more than half a billion fans worldwide, and the No. 1 top-trending video of 2017 on YouTube, THE MASKED SINGER features celebrities facing off against one another with one major twist: each singer is shrouded from head to toe in an elaborate costume, complete with full face mask to conceal his or her identity.",hulu,61.0,tt7670568,Comedy
194,s195,TV Show,The Wonder Years,,,,23-Sep-21,2021,TV-PG,1 Season,"Comedy, Sitcom","The story of the Williams family during the late 1960s, all through the point of view of imaginative 12-year-old Dean. With the wisdom of his adult years, Dean’s hopeful and humorous recollections of his past spotlight the ups and downs of growing up in a Black middle-class family in Montgomery, Alabama, and the friendship, laughter and lessons along the way.",hulu,64.0,tt12682076,Comedy
197,s198,TV Show,Jimmy Kimmel Live,,,United States,21-Sep-21,2003,TV-14,2 Seasons,"Comedy, Late Night","ABC’s distinctive late-night talk show features a diverse lineup of guests, including celebrities, athletes, comedians, politicians and human interest subjects. Along with a light-hearted and recognizable cast of characters, a hip house band and comedy bits in host Jimmy Kimmel’s inimitable style, the show additionally offers one of the funniest, freshest monologues on television today, drawing from all forms of topical media.",hulu,55.0,tt0320037,Comedy
199,s200,TV Show,The Tonight Show Starring Jimmy Fallon,,,United States,21-Sep-21,2014,TV-14,2 Seasons,"Comedy, Late Night","Join Jimmy Fallon for a daily mix of jokes, sketches, celebrity interviews and musical guests.",hulu,59.0,tt3444938,Comedy
200,s201,TV Show,Will & Grace,,,,21-Sep-21,2017,TV-14,3 Seasons,"Comedy, LGBTQ+, Sitcom","That's right, honey! A decade after their unforgettable eight-season run, comedy's most fabulous foursome is back. Eric McCormack, Debra Messing, Sean Hayes and Megan Mullally reprise their infamous roles as Will, Grace, Jack and Karen. The legendary James Burrows, director of every original ""Will & Grace"" episode, returns along with a slew of razor-sharp jabs and dirty martinis. Behold once again, from the minds of Max Mutchnick and David Kohan, TV's wittiest ensemble ever.",hulu,62.0,,Comedy
201,s202,Movie,Grown Ups,,,,20-Sep-21,2010,TV-14,97 min,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",hulu,49.0,tt1375670,Comedy
202,s203,TV Show,Mom,,,United States,20-Sep-21,2013,TV-14,8 Seasons,"Comedy, Sitcom",Anna Faris and Emmy Award winner Allison Janney star in this often heart-wrenching comedy about a mother and daughter who are trying to get their life on track.,hulu,75.0,tt2660806,Comedy
211,s212,Movie,On Chesil Beach,,,,16-Sep-21,2018,R,110 min,"Cooking & Food, Drama, Lifestyle & Culture","In 1962, newlyweds Edward and Florence, both in their early 20s and also both virgins, spend their honeymoon preoccupied and terrified by the upcoming consummation of their marriage.",hulu,59.0,tt1667321,Cooking & Food
212,s213,Movie,Riders of Justice,,,,16-Sep-21,2020,,116 min,"Action, Comedy, Thriller","A recently-deployed military man (Mads Mikkelsen) returns home to care for his daughter after his wife dies in an accident. Suspecting foul play, he embarks on a revenge mission to find those responsible.",hulu,83.0,tt11655202,Action
213,s214,Movie,Stalker,,,,16-Sep-21,2020,,86 min,"Horror, Thriller",A young man's budding romance is threatened when he befriends an unstable ride-share driver.,hulu,31.0,tt11957450,Horror
214,s215,Movie,All About Nina,,,,15-Sep-21,2018,R,101 min,"Comedy, Drama","Just as Nina Geld’s (Mary Elizabeth Winstead) brilliant stand-up kicks her career into high gear, her romantic life gets complicated, forcing her to reckon with what it means to be creative, authentic, and a woman in today’s society.",hulu,70.0,tt7542576,Comedy
216,s217,TV Show,Dark Side of the Ring,,,"Canada, United States",15-Sep-21,2019,TV-14,3 Seasons,"Documentaries, Drama, Sports",Professional wrestling is the only sport where its stars live in two worlds and balance their in-ring characters with real life. This series examines these complex intersections of fantasy and reality while uncovering wrestling's dark and untold history.,hulu,61.0,tt9159144,Documentaries
218,s219,Movie,Hitman: Agent 47,,,"United States, United Kingdom, Germany, Canada",15-Sep-21,2015,R,97 min,"Action, Adventure, Crime",A genetically bred assassin joins forces with a young woman to stop a corporation looking to steal the secret of his past.,hulu,40.0,tt2679042,Action
